                Memory Set Library Cache Test

C Size          Nanosec         MB/sec          % Chnge
-------         -------         -------         -------
256             0.04            22160.42        1.00           
256             0.04            22257.84        1.00           
384             0.03            29236.03        0.76           
384             0.03            29055.73        1.01           
512             0.03            34427.46        0.84           
512             0.03            34504.85        1.00           
768             0.03            34731.25        0.99           
768             0.03            34645.76        1.00           
1024            0.03            36058.76        0.96           
1024            0.03            35893.74        1.00           
1536            0.03            36985.25        0.97           
1536            0.03            36791.20        1.01           
2048            0.03            36597.36        1.01           
2048            0.03            36400.25        1.01           
3072            0.03            37130.35        0.98           
3072            0.03            37019.22        1.00           
4096            0.03            35331.92        1.05           
4096            0.03            35282.70        1.00           
6144            0.03            36463.28        0.97           
6144            0.03            35814.22        1.02           
8192            0.03            37145.71        0.96           
8192            0.03            37126.78        1.00           
12288           0.03            37696.08        0.98           
12288           0.03            37293.30        1.01           
16384           0.03            37241.16        1.00           
16384           0.03            37002.77        1.01           
24576           0.03            37622.97        0.98           
24576           0.02            38328.69        0.98           
32768           0.03            30349.09        1.26           
32768           0.03            30353.58        1.00           
49152           0.04            24821.26        1.22           
49152           0.04            24611.76        1.01           
65536           0.04            24672.47        1.00           
65536           0.04            24689.57        1.00           
98304           0.04            23821.17        1.04           
98304           0.04            24233.42        0.98           
131072          0.04            23739.92        1.02           
131072          0.04            23662.40        1.00           
196608          0.04            23769.48        1.00           
196608          0.04            23720.31        1.00           
262144          0.04            22791.02        1.04           
262144          0.04            23032.63        0.99           
393216          0.05            19211.77        1.20           
393216          0.05            19205.93        1.00           
524288          0.06            17215.78        1.12           
524288          0.06            17200.83        1.00           
786432          0.06            16684.83        1.03           
786432          0.06            16694.81        1.00           
1048576         0.06            16729.61        1.00           
1048576         0.06            16738.47        1.00           
1572864         0.06            16693.96        1.00           
1572864         0.06            16686.39        1.00           
2097152         0.06            16644.45        1.00           
2097152         0.06            16746.46        0.99           
3145728         0.06            16777.23        1.00           
3145728         0.06            16636.21        1.01           
4194304         0.06            16702.15        1.00           
4194304         0.06            16783.05        1.00           
6291456         0.06            16808.35        1.00           
6291456         0.06            16827.73        1.00           
8388608         0.06            16674.80        1.01           
8388608         0.06            16701.51        1.00           

                Memory Copy Library Cache Test

C Size          Nanosec         MB/sec          % Chnge
-------         -------         -------         -------
256             0.03            33602.44        1.00           
256             0.03            33496.30        1.00           
384             0.03            34636.58        0.97           
384             0.03            34434.97        1.01           
512             0.03            35219.65        0.98           
512             0.03            35182.63        1.00           
768             0.03            36133.85        0.97           
768             0.03            36161.70        1.00           
1024            0.03            36909.73        0.98           
1024            0.03            36715.57        1.01           
1536            0.02            44767.41        0.82           
1536            0.02            44816.94        1.00           
2048            0.02            50148.75        0.89           
2048            0.02            50299.27        1.00           
3072            0.02            56800.04        0.89           
3072            0.02            56800.11        1.00           
4096            0.02            60978.23        0.93           
4096            0.02            61009.48        1.00           
6144            0.01            65667.76        0.93           
6144            0.01            65617.85        1.00           
8192            0.01            68622.93        0.96           
8192            0.01            68538.16        1.00           
12288           0.01            71704.37        0.96           
12288           0.01            71239.59        1.01           
16384           0.01            63913.90        1.11           
16384           0.02            63551.43        1.01           
24576           0.03            33680.59        1.89           
24576           0.03            33684.07        1.00           
32768           0.03            32761.16        1.03           
32768           0.03            32773.57        1.00           
49152           0.03            31790.75        1.03           
49152           0.03            31534.91        1.01           
65536           0.03            30963.60        1.02           
65536           0.03            31029.80        1.00           
98304           0.03            30919.12        1.00           
98304           0.03            30770.33        1.00           
131072          0.03            30651.49        1.00           
131072          0.03            30644.09        1.00           
196608          0.04            24499.83        1.25           
196608          0.04            24377.14        1.01           
262144          0.04            21653.43        1.13           
262144          0.04            21481.98        1.01           
393216          0.04            21209.93        1.01           
393216          0.04            21241.90        1.00           
524288          0.04            21297.08        1.00           
524288          0.05            21143.94        1.01           
786432          0.04            21235.12        1.00           
786432          0.05            21154.70        1.00           
1048576         0.04            21211.57        1.00           
1048576         0.05            21184.64        1.00           
1572864         0.05            21129.29        1.00           
1572864         0.05            21125.11        1.00           
2097152         0.05            21168.78        1.00           
2097152         0.04            21207.27        1.00           
3145728         0.04            21221.59        1.00           
3145728         0.04            21203.70        1.00           
4194304         0.04            21296.95        1.00           
4194304         0.04            21213.61        1.00           
6291456         0.05            20921.11        1.01           
6291456         0.05            20822.68        1.00           
8388608         0.05            18480.04        1.13           
8388608         0.05            18231.62        1.01           

                Tuned double Read Cache Test

C Size          Nanosec         MB/sec          % Chnge
-------         -------         -------         -------
256             0.40            19289.19        1.00           
256             0.40            19252.80        1.00           
384             0.40            19245.28        1.00           
384             0.40            19303.09        1.00           
512             0.40            19305.93        1.00           
512             0.40            19281.63        1.00           
768             0.40            19294.92        1.00           
768             0.40            19293.76        1.00           
1024            0.39            19317.23        1.00           
1024            0.40            19228.64        1.00           
1536            0.40            19270.45        1.00           
1536            0.40            19288.21        1.00           
2048            0.40            19282.85        1.00           
2048            0.40            19278.94        1.00           
3072            0.40            19273.01        1.00           
3072            0.40            19124.26        1.01           
4096            0.40            19167.21        1.00           
4096            0.40            19134.49        1.00           
6144            0.40            19277.84        0.99           
6144            0.40            19219.32        1.00           
8192            0.40            19263.86        1.00           
8192            0.40            19254.44        1.00           
12288           0.40            19225.65        1.00           
12288           0.40            19247.25        1.00           
16384           0.40            19259.90        1.00           
16384           0.40            19199.91        1.00           
24576           0.40            19243.89        1.00           
24576           0.40            19291.40        1.00           
32768           0.40            19314.57        1.00           
32768           0.40            19215.23        1.01           
49152           0.43            17540.40        1.10           
49152           0.43            17591.95        1.00           
65536           0.43            17585.52        1.00           
65536           0.43            17565.27        1.00           
98304           0.44            17459.29        1.01           
98304           0.44            17440.48        1.00           
131072          0.44            17380.64        1.00           
131072          0.44            17416.06        1.00           
196608          0.44            17377.79        1.00           
196608          0.44            17462.50        1.00           
262144          0.44            17391.75        1.00           
262144          0.44            17428.90        1.00           
393216          0.47            16220.93        1.07           
393216          0.47            16206.99        1.00           
524288          0.47            16176.43        1.00           
524288          0.47            16178.93        1.00           
786432          0.47            16142.66        1.00           
786432          0.47            16207.84        1.00           
1048576         0.47            16280.55        1.00           
1048576         0.47            16228.37        1.00           
1572864         0.47            16176.71        1.00           
1572864         0.47            16203.01        1.00           
2097152         0.47            16108.03        1.01           
2097152         0.47            16160.26        1.00           
3145728         0.48            16034.33        1.01           
3145728         0.47            16118.30        0.99           
4194304         0.47            16203.39        0.99           
4194304         0.47            16235.04        1.00           
6291456         0.47            16214.34        1.00           
6291456         0.47            16258.22        1.00           
8388608         0.47            16101.79        1.01           
8388608         0.47            16066.49        1.00           

                Tuned double Write Cache Test

C Size          Nanosec         MB/sec          % Chnge
-------         -------         -------         -------
256             0.39            19564.75        1.00           
256             0.39            19588.31        1.00           
384             0.39            19617.17        1.00           
384             0.39            19614.99        1.00           
512             0.39            19613.33        1.00           
512             0.39            19624.24        1.00           
